#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,mean,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,endpoint,host,method,peak_users,result,server,service,status_code,system_type,teastore
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:34:00Z,0.043807001166666665,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:35:00Z,0.04412637316666667,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:36:00Z,0.04656210666666668,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:37:00Z,0.0429841695,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:38:00Z,0.038618665999999996,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:39:00Z,0.04417286333333334,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:40:00Z,0.047396359,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:41:00Z,0.045391051666666675,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:42:00Z,0.045776233,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:43:00Z,0.05808310549999999,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:44:00Z,0.04866661583333332,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:45:00Z,0.048542966,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:46:00Z,0.056265380000000004,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:47:00Z,0.046147319500000006,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,0.04511297066666667,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,5,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T21:44:00Z,2.0749133302500002,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,open,monitoring
,,5,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T21:45:00Z,4.541856615,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,open,monitoring
,,5,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T21:46:00Z,3.9072207798000003,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,open,monitoring
,,5,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T21:48:00Z,3.996975682666667,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,open,monitoring
,,5,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T21:49:00Z,1.5250896723999998,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,open,monitoring
,,5,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T21:50:00Z,0.04814751366666666,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,open,monitoring
